episode,reward,score,snake_length,steps,epsilon,avg_loss,num_learning_updates,termination_reason
44,5.83,1,4,69,0.8020760579717637,0.06178297725357655,69,wall_collision
45,14.120000000000022,2,5,131,0.798065677681905,0.06879093829952962,131,self_collision
46,5.820000000000018,1,4,120,0.7940753492934954,0.060110577046483135,120,wall_collision
47,16.120000000000008,2,5,71,0.7901049725470279,0.08005151246316915,71,wall_collision
48,4.960000000000006,1,4,46,0.7861544476842928,0.10086794112778633,46,wall_collision
49,15.500000000000007,2,5,113,0.7822236754458713,0.06771144991281104,113,self_collision
50,4.830000000000002,1,4,89,0.778312557068642,0.06255955341745566,89,wall_collision
51,-4.29,0,3,20,0.7744209942832988,0.08185434360639192,20,wall_collision
52,-5.820000000000001,0,3,143,0.7705488893118823,0.07451392220491153,143,wall_collision
53,15.49000000000002,2,5,124,0.7666961448653229,0.06260751916617606,124,self_collision
54,26.190000000000005,3,6,75,0.7628626641409962,0.08582600119834145,75,self_collision
55,16.300000000000008,2,5,113,0.7590483508202912,0.08551585276928458,113,self_collision
56,5.710000000000008,1,4,61,0.7552531090661897,0.10586552911430414,61,wall_collision
57,5.970000000000001,1,4,35,0.7514768435208588,0.0814434418887166,35,wall_collision
58,-5.29,0,3,40,0.7477194593032545,0.06886617880954873,40,wall_collision
59,5.190000000000005,1,4,113,0.7439808620067382,0.07230290017024804,113,wall_collision
60,15.330000000000009,2,5,160,0.7402609576967045,0.06667182808741927,160,self_collision
61,14.060000000000006,2,5,257,0.736559652908221,0.08900209233945722,257,self_collision
62,14.830000000000009,2,5,250,0.7328768546436799,0.08584358907910064,250,self_collision
63,15.990000000000002,2,5,54,0.7292124703704616,0.08833695104975184,54,self_collision
64,5.000000000000002,1,4,102,0.7255664080186093,0.07716953400043114,102,wall_collision
65,16.720000000000002,2,5,71,0.7219385759785162,0.06965920697031937,71,wall_collision
66,-3.84,0,3,45,0.7183288830986236,0.1166317174780286,45,wall_collision
67,15.310000000000013,2,5,162,0.7147372386831305,0.09903360649448946,162,self_collision
68,16.52000000000001,2,5,111,0.7111635524897149,0.09842889586690108,111,self_collision
69,5.250000000000002,1,4,47,0.7076077347272662,0.08768220185401275,47,wall_collision
70,16.510000000000012,2,5,142,0.7040696960536299,0.09225679146827684,142,self_collision
71,5.5,1,4,72,0.7005493475733617,0.09978271905694985,72,wall_collision
72,-4.499999999999999,0,3,51,0.697046600835495,0.08005554000755735,51,wall_collision
73,16.610000000000003,2,5,72,0.6935613678313175,0.1267602596587191,72,self_collision
74,15.010000000000012,2,5,112,0.6900935609921609,0.10385582020847194,112,self_collision
75,-4.869999999999999,0,3,38,0.6866430931872001,0.06264541745430936,38,wall_collision
76,16.400000000000006,2,5,63,0.6832098777212641,0.10930773507921941,63,self_collision
77,16.55,2,5,38,0.6797938283326578,0.09467986085770749,38,wall_collision
78,15.790000000000003,2,5,94,0.6763948591909945,0.09051759545988541,94,self_collision
79,27.07000000000002,3,6,127,0.6730128848950395,0.09815938599906333,127,self_collision
80,-4.390000000000001,0,3,30,0.6696478204705644,0.09359939014539123,30,wall_collision
